place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
5,12,FRESH POWER(B067),K C Leung,Y S Tsui,117,1015,11,2-3/4,"10                                                            

11                                                            

5",1:10.16,30,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
6,8,GREEN REIGN(D140),C Schofield,C Fownes,123,1135,6,5-1/4,"8                                                            

9                                                            

6",1:10.58,99,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
7,9,MONKEY JEWELLERY(B378),G van Niekerk,J Size,121,1087,5,5-3/4,"5                                                            

7                                                            

7",1:10.64,8.1,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
8,11,MIGHTY POWER(C094),M L Yeung,T P Yung,118,1028,8,6-1/2,"7                                                            

8                                                            

8",1:10.80,30,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
9,4,JUST NOT LISTENING(B192),N Callan,J Moore,127,1214,10,6-3/4,"2                                                            

4                                                            

9",1:10.81,50,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
10,7,DIAMOND PEGASUS(D143),K Teetan,A S Cruz,123,1124,4,7,"1                                                            

3                                                            

10",1:10.85,50,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
11,3,EVEN KEEL(C442),H W Lai,L Ho,127,1004,3,7-1/4,"12                                                            

12                                                            

11",1:10.92,142,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
12,10,TEAM FORTUNE(T306),H N Wong,W Y So,117,1142,7,8-1/4,"11                                                            

10                                                            

12",1:11.05,74,3(296),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
1,2,STARSHIP(V379),N Callan,P O'Sullivan,132,1177,3,-,"8                                                            

8                                                            

8                                                            

1",1:35.62,16,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
2,3,LEAP OF FAITH(C386),Z Purton,J Size,130,1078,2,1/2,"7                                                            

6                                                            

5                                                            

2",1:35.70,3.5,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
3,11,PARTY EVERYDAY(C414),T Piccone,A S Cruz,121,1115,7,3/4,"14                                                            

14                                                            

14                                                            

3",1:35.75,108,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
4,4,VILLA FIONN(B339),C Schofield,P F Yiu,129,1018,10,1,"12                                                            

10                                                            

10                                                            

4",1:35.79,3.6,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
5,5,SUNNY POWER(A371),C Y Ho,K W Lui,127,1140,9,2-1/2,"9                                                            

9                                                            

7                                                            

5",1:36.03,14,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
6,14,SPIRIT PATCH(C184),H W Lai,K L Man,116,1097,8,2-3/4,"2                                                            

2                                                            

1                                                            

6",1:36.04,133,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
7,6,WOOD ON FIRE(C460),J Moreira,L Ho,127,1053,6,2-3/4,"5                                                            

5                                                            

6                                                            

7",1:36.06,6.9,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
8,8,WITNESS HUNTER(B421),K Teetan,F C Lor,125,1241,1,4-3/4,"4                                                            

4                                                            

4                                                            

8",1:36.37,9.1,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
9,9,JOY MASTER(B222),K H Chan,C Fownes,113,1101,5,5,"11                                                            

13                                                            

11                                                            

9",1:36.41,7.6,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
10,13,SAVVY SEVEN(B314),L Hewitson,J Moore,118,1096,14,5-1/4,"13                                                            

12                                                            

9                                                            

10",1:36.47,33,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
11,7,VICTORY VISION(C434),M F Poon,C H Yip,124,1114,12,7-1/2,"10                                                            

11                                                            

12                                                            

11",1:36.81,138,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
12,10,SHANGHAI DRAGON(B114),M L Yeung,T P Yung,122,1130,13,9-1/4,"3                                                            

3                                                            

3                                                            

12",1:37.11,18,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
13,12,SMILING SUCCESS(C250),H T Mo,K H Ting,116,1229,4,10-1/4,"1                                                            

1                                                            

2                                                            

13",1:37.26,84,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
14,1,TOUCH OF FAITH(C529),A Badel,D J Whyte,133,1074,11,15-1/4,"6                                                            

7                                                            

13                                                            

14",1:38.05,58,4(297),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
1,11,JOYFUL HEART(C227),Z Purton,F C Lor,123,1138,4,-,"8                                                            

8                                                            

5                                                            

1",1:22.15,2.3,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
2,5,CIRCUIT THREE(B360),C Schofield,A S Cruz,128,1133,12,SH,"14                                                            

14                                                            

12                                                            

2",1:22.16,27,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
3,4,BETTER CHOICE(A383),J Moreira,D J Whyte,128,1036,5,1-1/2,"5                                                            

6                                                            

7                                                            

3",1:22.38,5.6,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
4,13,VITAL SPRING(A057),C Y Ho,K W Lui,120,1168,3,2,"9                                                            

10                                                            

8                                                            

4",1:22.48,11,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
5,3,SONIC FIGHTER(A187),N Callan,P O'Sullivan,130,1063,9,2-1/4,"10                                                            

11                                                            

9                                                            

5",1:22.53,14,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
6,6,SHOUSON(C326),S de Sousa,J Moore,127,1124,7,3,"6                                                            

5                                                            

4                                                            

6",1:22.63,16,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
7,2,WAR LORD(C113),K Teetan,J Size,131,1107,2,3,"2                                                            

4                                                            

3                                                            

7",1:22.63,10,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
8,1,EMERALD SPUR(B258),G van Niekerk,P F Yiu,133,1186,11,3-1/4,"13                                                            

12                                                            

10                                                            

8",1:22.66,6.5,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
9,9,VOYAGE STAR(C098),K C Leung,T P Yung,124,1197,1,4,"1                                                            

1                                                            

1                                                            

9",1:22.80,39,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
10,7,SUNSHINE UNIVERSE(A130),M F Poon,R Gibson,124,1074,8,9,"3                                                            

2                                                            

2                                                            

10",1:23.59,31,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
11,14,MY FAMILY(C187),K H Chan,Y S Tsui,116,1138,14,10-1/2,"4                                                            

3                                                            

6                                                            

11",1:23.85,44,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
12,12,REGENCY POET(D010),A Badel,K L Man,126,1207,10,15-3/4,"11                                                            

9                                                            

13                                                            

12",1:24.69,50,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
13,8,MILLENNIUM DAWN(C459),H T Mo,L Ho,122,1141,6,16,"12                                                            

13                                                            

14                                                            

13",1:24.70,189,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
14,10,FLYING EMPEROR(C156),H N Wong,C W Chang,120,1004,13,17-1/4,"7                                                            

7                                                            

11                                                            

14",1:24.90,210,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
WV,,DIGITAL TRIUMPH(C246),M L Yeung,K H Ting,120,---,---,---,---,---,---,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
WV,,SIMPLY FLUKE(C352),A Badel,C H Yip,116,---,---,---,---,---,---,5(298),Class 4 - 1400M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/01/01
1,6,VOYAGE WARRIOR(C247),J Moreira,P F Yiu,125,1134,14,-,"3                                                            

2                                                            

1",0:55.97,3.3,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
2,11,CUE THE MUSIC(C495),K Teetan,D E Ferraris,118,1159,6,3,"8                                                            

8                                                            

2",0:56.45,21,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
3,14,HEART CONQUERED(D174),H T Mo,R Gibson,110,1209,5,3-1/4,"7                                                            

9                                                            

3",0:56.47,20,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
4,5,WATER DIVINER(V356),C Y Ho,K W Lui,127,1198,12,3-1/4,"13                                                            

13                                                            

4",0:56.48,5.3,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
5,7,MR LUMIERES(B179),K H Chan,D J Hall,111,1118,4,3-1/2,"2                                                            

3                                                            

5",0:56.51,22,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
6,8,REFINED TREASURE(B065),G van Niekerk,A T Millard,121,1044,13,3-3/4,"9                                                            

4                                                            

6",0:56.56,5.4,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
7,10,MULTIMILLION(C022),C Schofield,A S Cruz,119,1153,8,4,"1                                                            

1                                                            

7",0:56.59,21,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
8,1,COUNTRY STAR(B396),A Badel,J Size,133,1117,2,5-1/2,"11                                                            

10                                                            

8",0:56.86,69,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
9,2,SAUL'S SPECIAL(A293),N Callan,C W Chang,130,1117,7,5-3/4,"5                                                            

5                                                            

9",0:56.90,82,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
10,12,LITTLE BIRD(B069),L Hewitson,P F Yiu,117,1212,3,6-3/4,"10                                                            

11                                                            

10",0:57.04,149,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
11,4,STYLING CITY(B280),S de Sousa,J Moore,128,1187,1,7-3/4,"12                                                            

12                                                            

11",0:57.22,19,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
12,9,DRAGON GENERAL(T400),M F Poon,Y S Tsui,118,1108,9,9-1/4,"14                                                            

14                                                            

12",0:57.43,47,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
13,13,SPEED VISION(B211),M L Yeung,F C Lor,114,1183,10,13-1/2,"6                                                            

7                                                            

13",0:58.12,182,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
14,3,YEE CHEONG BABY(C273),Z Purton,K H Ting,130,1214,11,14-3/4,"4                                                            

6                                                            

14",0:58.32,4.2,6(299),Class 2 - 1000M - (100-80),GOOD,"TURF - ""C"" Course","HK$ 2,100,000",Sha Tin,2020/01/01
1,8,GOLDEN SIXTY(C238),C Y Ho,K W Lui,116,1070,4,-,"6                                                            

6                                                            

6                                                            

1",1:20.70,1.6,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
2,7,FAT TURTLE(C215),A Badel,F C Lor,117,1164,7,2,"5                                                            

5                                                            

5                                                            

2",1:21.01,13,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
3,5,CHAMPION'S WAY(C061),J Moreira,J Size,120,1107,8,2-1/2,"8                                                            

7                                                            

7                                                            

3",1:21.11,8.5,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
4,4,ENCOURAGING(B109),S de Sousa,J Moore,121,1053,6,4,"2                                                            

2                                                            

2                                                            

4",1:21.35,6.5,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
5,2,KA YING STAR(C198),K Teetan,A S Cruz,129,1131,2,4-1/4,"1                                                            

1                                                            

1                                                            

5",1:21.40,7.5,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
6,6,GOOD STANDING(B105),G van Niekerk,J Moore,120,1246,5,5-3/4,"3                                                            

4                                                            

3                                                            

6",1:21.63,23,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
7,1,SEASONS BLOOM(V410),Z Purton,C S Shum,133,1062,3,6-1/2,"7                                                            

8                                                            

8                                                            

7",1:21.74,16,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
8,3,NORTHERN SUPERSTAR(C073),M F Poon,A T Millard,123,1147,1,14,"4                                                            

3                                                            

4                                                            

8",1:22.95,75,7(300),Group Three - 1400M ,GOOD,"TURF - ""C"" Course","HK$ 3,250,000",Sha Tin,2020/01/01
1,8,LUCKY MORE(D035),Z Purton,C S Shum,126,1093,4,-,"2                                                            

2                                                            

1",1:09.17,2.3,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
2,5,GOOD BEAUTY(B384),A Badel,J Moore,129,1031,1,1,"6                                                            

6                                                            

2",1:09.32,9.3,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
3,3,TEAM SPIRIT(B230),J Moreira,W Y So,131,1203,3,1-3/4,"3                                                            

3                                                            

3",1:09.43,12,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
4,2,QUADRUPLE DOUBLE(B250),M F Poon,D J Hall,129,1107,8,3-1/4,"1                                                            

1                                                            

4",1:09.68,2.4,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
5,9,CALIFORNIA TURBO(C077),K Teetan,A S Cruz,125,1157,12,4,"7                                                            

5                                                            

5",1:09.81,15,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
6,10,TAILOR MADE(C522),H N Wong,C W Chang,119,1025,5,6-1/2,"9                                                            

9                                                            

6",1:10.20,179,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
7,11,DIAMOND KING(S347),M L Yeung,T P Yung,120,1132,7,7,"4                                                            

4                                                            

7",1:10.29,27,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
8,1,CANTSTOPTHEFEELING(C432),C Schofield,K H Ting,133,1181,11,7-3/4,"10                                                            

10                                                            

8",1:10.41,37,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
9,12,EVER LAUGH(A278),H W Lai,K L Man,117,1158,10,7-3/4,"12                                                            

12                                                            

9",1:10.41,96,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
10,6,LONDON LUCKYSTAR(C368),L Hewitson,D J Whyte,127,995,6,7-3/4,"5                                                            

7                                                            

10",1:10.42,48,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
11,4,HERCULES(C476),T H So,C H Yip,128,1033,2,8,"8                                                            

8                                                            

11",1:10.45,105,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
12,7,LUCKY PUZZLE(D112),G van Niekerk,Y S Tsui,127,1014,9,12-3/4,"11                                                            

11                                                            

12",1:11.22,54,8(301),Class 3 - 1200M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
1,13,LOOKING GOOD(B256),K H Chan,F C Lor,108,1193,14,-,"3                                                            

2                                                            

2                                                            

1",1:21.65,41,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
2,4,ASSIMILATE(C160),Z Purton,K H Ting,127,1100,4,SH,"8                                                            

7                                                            

8                                                            

2",1:21.66,3.6,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
3,12,BEAUTY LOYAL(B383),C Schofield,A S Cruz,118,1104,6,HD,"6                                                            

5                                                            

3                                                            

3",1:21.68,6.7,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
4,2,MY ALLY(B261),A Badel,J Moore,131,1147,11,1-3/4,"2                                                            

1                                                            

1                                                            

4",1:21.91,14,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
5,10,HINCHINLOVE(C001),M L Yeung,T P Yung,122,1172,10,1-3/4,"1                                                            

3                                                            

4                                                            

5",1:21.92,40,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
6,7,SEATTLE CHOICE(D133),K Teetan,A T Millard,124,1205,2,2-1/4,"11                                                            

11                                                            

9                                                            

6",1:21.99,6.6,9(302),Class 3 - 1400M - (80-60),GOOD,"TURF - ""C"" Course","HK$ 1,450,000",Sha Tin,2020/01/01
