place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,4,LIKE THAT(D328),Z Purton,J Moore,120,1117,2,-,"4                                                            

4                                                            

1",0:56.66,4.9,1(621),Griffin Race - 1000M ,GOOD,"TURF - ""B"" Course","HK$ 850,000",Sha Tin,2020/05/03
2,3,SMILING FACE(D192),J Moreira,D J Whyte,129,1182,4,1/2,"2                                                            

1                                                            

2",0:56.75,1.7,1(621),Griffin Race - 1000M ,GOOD,"TURF - ""B"" Course","HK$ 850,000",Sha Tin,2020/05/03
3,1,CHANCHENG PRINCE(D270),A Hamelin,K W Lui,129,1115,1,1-1/2,"3                                                            

3                                                            

3",0:56.90,4.7,1(621),Griffin Race - 1000M ,GOOD,"TURF - ""B"" Course","HK$ 850,000",Sha Tin,2020/05/03
4,5,SUPER TEN(D362),C Schofield,D J Whyte,120,1230,3,2,"1                                                            

2                                                            

4",0:56.96,4.7,1(621),Griffin Race - 1000M ,GOOD,"TURF - ""B"" Course","HK$ 850,000",Sha Tin,2020/05/03
WV,2,SEA MONARCH(D063),K Teetan,W Y So,129,---,---,---,---,---,---,1(621),Griffin Race - 1000M ,GOOD,"TURF - ""B"" Course","HK$ 850,000",Sha Tin,2020/05/03
1,1,DEMONS ROCK(B263),Z Purton,D J Hall,132,1068,3,-,"5                                                            

3                                                            

1",1:09.69,5.1,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
2,11,EXPONENTS(A031),M Chadwick,Y S Tsui,121,1128,2,1-3/4,"7                                                            

7                                                            

2",1:09.98,9.4,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
3,12,TIGERLAD(C243),C Wong,A T Millard,108,1124,8,2,"3                                                            

5                                                            

3",1:10.02,35,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
4,9,CORRE RAPIDO(A053),M F Poon,R Gibson,123,1151,9,3-3/4,"9                                                            

8                                                            

4",1:10.30,28,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
5,5,PLEASANT GUY(B060),J Moreira,L Ho,130,1179,11,3-3/4,"10                                                            

9                                                            

5",1:10.31,4.7,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
6,3,GRAND HARBOUR(P421),K H Chan,C W Chang,124,1237,5,4,"1                                                            

2                                                            

6",1:10.32,6,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
7,8,SUPER FUN(A408),A Hamelin,C H Yip,126,1124,4,4-3/4,"2                                                            

1                                                            

7",1:10.47,12,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
8,10,VICTORY SONG(C316),V Borges,P O'Sullivan,122,1155,12,5-1/4,"11                                                            

10                                                            

8",1:10.53,54,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
9,6,MONEYMORE(B182),K Teetan,W Y So,128,1055,10,6-1/4,"12                                                            

12                                                            

9",1:10.69,8.9,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
10,4,BLINK OF A SECOND(B418),N Callan,D E Ferraris,130,1138,1,8-1/4,"8                                                            

6                                                            

10",1:11.02,53,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
11,7,FAIRY FLOSS(C236),M L Yeung,K H Ting,126,1061,6,10,"4                                                            

4                                                            

11",1:11.28,5.6,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
12,2,E GENERATION(C322),C Y Ho,C Fownes,132,1103,7,18-1/2,"6                                                            

11                                                            

12",1:12.63,16,2(622),Class 5 - 1200M - (40-0),GOOD,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/05/03
1,4,CHEFANO(C297),M Chadwick,J Moore,114,1008,4,-,"1                                                            

1                                                            

1                                                            

3                                                            

1                                                            

1",2:27.05,6.2,3(623),Group Three - 2400M ,GOOD,"TURF - ""B"" Course","HK$ 3,250,000",Sha Tin,2020/05/03
2,5,SAVVY NINE(D056),J Moreira,J Moore,115,1083,1,2-1/4,"5                                                            

4                                                            

4                                                            

4                                                            

4                                                            

2",2:27.41,3.1,3(623),Group Three - 2400M ,GOOD,"TURF - ""B"" Course","HK$ 3,250,000",Sha Tin,2020/05/03
3,3,HELENE CHARISMA(A129),A Hamelin,J Moore,119,1087,5,4-1/4,"4                                                            

5                                                            

5                                                            

5                                                            

5                                                            

3",2:27.72,8.4,3(623),Group Three - 2400M ,GOOD,"TURF - ""B"" Course","HK$ 3,250,000",Sha Tin,2020/05/03
